,name,description1,description2,description3,description4,description5,description6
0,AccessChk,"Get the security descriptor (SDDL) for an object (file, directory, reg key).","Retrieve the security descriptor for a specified object, such as a file, directory, or registry key.","Obtain the security descriptor (SDDL) for a given file, directory, or registry entry.","Display the security settings (SDDL) associated with a specified file, directory, or registry key","View the security descriptor of a designated object, be it a file, directory, or registry entry.","Retrieve the SDDL for an object like a file, directory, or registry key for inspection."
1,ADDUSERS,Add or list users to/from a CSV file,Add or list users in relation to a CSV file.,Manage user entries by adding or listing them through interactions with a CSV file.,"Perform user management operations, including addition and listing, using a CSV file.","Interact with user data stored in a CSV file, allowing for both addition and listing functionalities.",Add or list users based on information stored in a CSV file for streamlined management.
2,ADmodcmd,Active Directory Bulk Modify,Execute bulk modifications within Active Directory for streamlined management.,Perform bulk modifications in Active Directory to update multiple entries efficiently., Initiate bulk modifications for Active Directory entries to ensure swift and effective updates.,Conduct bulk modifications within Active Directory for efficient and comprehensive changes.,Use Active Directory Bulk Modify command to apply changes in bulk across multiple entries.
3,ARP,Address Resolution Protocol,Resolve network addresses efficiently using the Address Resolution Protocol.,Use the Address Resolution Protocol to map IP addresses to corresponding MAC addresses.,Implement the Address Resolution Protocol for effective resolution of IP to MAC addresses.,Utilize Address Resolution Protocol for mapping IP addresses to MAC addresses on the network.,Resolve network addresses by employing the Address Resolution Protocol to link IP and MAC addresses.
4,ASSOC,Change file extension associations •, Modify file extension associations to control how files are opened or processed.,Manage file extension associations to determine how specific file types are handled.,Change the associations of file extensions to customize how files are opened or treated.,Control file behavior by adjusting the associations of specific file extensions.,Customize file extension associations to influence the default actions for different file types.
5,ATTRIB,Change file attributes,Modify file attributes to control various properties and behaviors.,Change file attributes to adjust the characteristics and permissions of a file.,Adjust file properties by modifying its attributes to meet specific requirements.,Control file behaviors and access permissions through the modification of file attributes.,"Customize file properties by changing its attributes, influencing its handling and accessibility."
6,BCDBOOT,Create or repair a system partition,Establish or repair a system partition for enhanced system functionality.,Create or mend a system partition to ensure proper booting and system operation.,Manage the creation or repair of a system partition for optimal system performance.,Ensure a functioning system partition through the creation or restoration process.,Establish or fix a system partition to maintain the integrity and functionality of the system.
7,BCDEDIT,Manage Boot Configuration Data,Administer and modify Boot Configuration Data for system boot management.,Control and customize Boot Configuration Data settings for efficient system booting.,Manage the Boot Configuration Data to configure and optimize the system boot process.,Customize and manipulate Boot Configuration Data to influence system startup behavior.,Administer the Boot Configuration Data to tailor system boot settings for specific requirements.
8,BITSADMIN,Background Intelligent Transfer Service,Utilize the Background Intelligent Transfer Service to manage and control file transfers.,Employ the Background Intelligent Transfer Service for efficient and intelligent background file transfers.,Manage file transfers seamlessly with the Background Intelligent Transfer Service.,Utilize the capabilities of the Background Intelligent Transfer Service for efficient and uninterrupted file transfers., Control and coordinate background file transfers effectively using the Background Intelligent Transfer Service.
9,BOOTREC,Repair or replace a  partition boot sector,Repair or replace a partition boot sector to restore system boot functionality.,Restore or substitute a partition boot sector to address boot-related issues.,Repair or replace a partition boot sector for system recovery and stability.,Fix or exchange a partition boot sector to ensure proper booting and system operation.,Restore or renew a partition boot sector to resolve issues affecting the system's ability to boot.
10,BREAK,"Do nothing, successfully •","Execute a null operation, achieving success without any specific action.","Successfully perform a no-operation, maintaining the current state without changes.","Implement a successful do-nothing operation, leaving the system unchanged.","Carry out a successful no-action command, resulting in no alterations to the current state.","Successfully execute a command that performs no specific action, maintaining the status quo."
11,BROWSTAT,"Get domain, browser and PDC info","Retrieve domain, browser, and Primary Domain Controller (PDC) information for network analysis.","Obtain details on domains, browsers, and the Primary Domain Controller using network diagnostic tools."," Fetch information related to domains, browsers, and the Primary Domain Controller for network analysis and troubleshooting.","Retrieve network details including domain, browser, and Primary Domain Controller information for analysis and diagnostics.","Obtain information on domains, browsers, and the Primary Domain Controller to analyze and troubleshoot network configurations."
12,CACLS,Change file permissions,Modify file permissions to control access and security settings.,Change file access control settings to manage permissions effectively.,Adjust file permissions to regulate user access and security configurations.,Manage and customize file permissions to control access and security.,Modify access control lists for files to adjust and enhance permission settings.
13,CALL,Call one batch program from another •,Invoke another batch program from the current one for enhanced modularity.,Execute a separate batch program from within the current script to achieve modular programming.,Incorporate the functionality of another batch program into the current one using the CALL command.,Include and run a secondary batch program from within the current script for improved code organization.,Call and execute a different batch program to leverage its functionality within the current script.
14,CERTREQ,Request certificate from a certification authority, Initiate a request to obtain a certificate from a certification authority.,Request a certificate from a certification authority to enhance security measures.,Submit a certificate request to a certification authority for authentication and authorization.,Initiate the process to obtain a certificate by sending a request to a certification authority.,Request a certificate from a certification authority to enable secure communication and transactions.
15,CERTUTIL,Manage certification authority (CA) files and services,Administer and handle certification authority (CA) files and services for enhanced security management.,Manage files and services related to a certification authority (CA) to ensure secure operations.,Administer certification authority (CA) files and services to uphold security and certificate management.,Handle and oversee files and services associated with a certification authority (CA) for secure certificate operations.,Manage certification authority (CA) files and services to maintain the integrity and functionality of the security infrastructure.
16,CD,Change Directory  move to a specific Folder,Change the current directory to navigate to a specific folder within the file system., Move to a designated folder by changing the current directory for effective file management.,Change the working directory to access and work within a specific folder in the file system.,Navigate to a specified directory by changing the current working directory using the CD command.,Change the current directory to move seamlessly into a designated folder within the file structure.
17,CHANGE,Change Terminal Server Session properties,Modify properties of a Terminal Server session to customize user experience and settings.,Adjust Terminal Server Session properties to enhance session configurations and user interactions.,Customize Terminal Server Session settings to tailor the session environment for optimal user satisfaction.,Modify properties of a Terminal Server session to meet specific requirements and preferences.,Adjust Terminal Server Session parameters to optimize the user experience and session behavior.
18,CHANGEPK,Upgrade device Edition/Product Key,Upgrade the device edition or product key to unlock additional features and capabilities.,Modify the device edition or product key to access advanced functionalities and services.,Change the device edition or product key to upgrade and enhance the device's capabilities.,Upgrade the device by altering the edition or product key to unlock additional features.,Modify the product key to upgrade the device edition and access extended functionalities.
19,CHCP,Change the active console Code Page, Modify the active console Code Page to adjust character encoding for the command prompt.,Change the active console Code Page to manage character encoding settings for the command prompt.,Adjust the active console Code Page to customize character encoding for the command prompt., Modify the active console Code Page to change the character encoding used in the command prompt.,Change the active console Code Page to control and customize character encoding settings.
20,CHDIR,Change Directory - move to a specific Folder •,Navigate to a specified folder by changing the current directory within the file system.,Change the working directory to access a designated folder in the file system.,Move to a specific folder by changing the current directory for effective file management.,Change the current directory to seamlessly enter a designated folder within the file structure.,Switch to a specified directory by adjusting the current working directory using the CHDIR command.
21,CHKDSK,Check Disk - check and repair disk problems,Perform a disk check to identify and repair issues with the file system.,Check and repair disk problems to ensure the integrity of the file structure.,Diagnose and fix disk-related issues through the Check Disk command.,Execute a disk check to identify and correct problems within the file system.,Verify and repair disk problems using the Check Disk utility for optimal disk health.
22,CHKNTFS,Check the NTFS file system,Inspect and validate the integrity of the NTFS file system for potential issues.,Verify the status and health of the NTFS file system through a file system check.,Check the NTFS file system for errors and ensure its proper functioning.,Examine and assess the condition of the NTFS file system to identify any abnormalities.,Validate and analyze the NTFS file system for any inconsistencies or problems.
23,CHOICE,Accept keyboard input to a batch file, Incorporate keyboard input functionality into a batch file to provide user options.,Accept user input from the keyboard within a batch file for interactive decision-making.,Integrate keyboard input acceptance in a batch file to enable user choices and selections.,Enable interactive decision-making by accepting keyboard input within a batch script.,Incorporate a user prompt in a batch file to receive keyboard input for decision points.
24,CIPHER,"Encrypt or Decrypt files/folders, overwrite data.","Encrypt or decrypt files and folders, with the option to overwrite data for enhanced security.","Perform encryption or decryption on files and folders, allowing for data overwriting as needed.",Encrypt or decrypt files/folders and overwrite data for secure and irreversible transformation.,"Securely encrypt or decrypt files and folders, providing the option to overwrite existing data.","Perform encryption or decryption operations, with the added capability to overwrite data for increased security."
25,CleanMgr,"Automated cleanup of Temp files, recycle bin",Automatically clean up temporary files and recycle bin contents for system optimization.,Initiate an automated cleanup process for removing temporary files and emptying the recycle bin.,Perform a system-wide cleanup by automating the removal of temporary files and recycle bin items.,Automate the process of cleaning up temporary files and recycling bin contents for improved system performance.,"Execute an automated cleanup routine to clear out temporary files and recycle bin contents, optimizing disk space."
26,CLIP,Copy STDIN to the Windows clipboard,Copy standard input (STDIN) content to the Windows clipboard for easy data transfer.,Transfer data from standard input to the Windows clipboard for seamless copying.,"Copy information from STDIN to the Windows clipboard, facilitating efficient data handling.",Streamline the process of copying content from standard input to the Windows clipboard.,Easily copy data from STDIN to the Windows clipboard for quick and convenient clipboard management.
27,CLS,Clear the screen •,Clear the screen for a fresh and uncluttered command prompt interface.,Reset the command prompt display by clearing the screen for better visibility.,Erase the current content on the screen to create a clean and unobstructed view.,Remove all text and information from the display to present a blank command prompt.,"Clear the command prompt screen, providing a clean slate for new commands and output."
28,CMD,Start a new CMD shell, Launch a new CMD shell to initiate a separate command-line environment., Start a new command prompt shell to execute commands in a fresh environment., Initiate a new CMD shell session for isolated command-line operations.,"Open a new command prompt shell, providing a separate instance for command execution.",Begin a new CMD shell for independent command-line interactions and executions.
29,CMDKEY,Manage stored usernames/passwords,Administer stored usernames and passwords for secure credential management.,Manage and control stored usernames and passwords to enhance credential security.,Handle stored credentials to ensure secure and organized management of usernames and passwords.,Administer stored usernames and passwords for effective credential storage and retrieval.,Control and manage stored credentials to ensure secure and efficient access to various resources.
30,COLOR,Change colors of the CMD window •,Modify the colors of the CMD window to personalize the command prompt interface.,Change the color scheme of the CMD window to customize the visual appearance.,Adjust the colors of the CMD window for a personalized and visually appealing command-line experience.,Personalize the CMD window by altering its color settings to suit individual preferences.,Customize the visual presentation of the CMD window by changing its color scheme.
31,COMP,Compare the contents of two files or sets of files,Compare the contents of two files or sets of files for differences and similarities.,Analyze and compare the contents of two files or file sets to identify discrepancies.,Evaluate and determine the differences between the contents of two specified files.,Compare files or sets of files to ascertain variations in their content.,Examine and identify distinctions between the contents of two specified files or file sets.
32,COMPACT,Compress files or folders on an NTFS partition,Compress files or folders on an NTFS partition to save disk space.,Reduce the size of files and folders on an NTFS partition through compression.,Compress files or directories within an NTFS partition to optimize storage utilization.,Shrink the size of specified files or folders on an NTFS partition using compression.,Implement compression on files or folders in an NTFS partition to economize disk space.
33,COMPRESS,Compress one or more files,Compress one or more files to reduce their size and save storage space., Shrink the size of specified files through compression for efficient storage.,Apply compression to reduce the file size of one or more designated files.,"Compress files to create compressed archives, optimizing storage efficiency.",Implement file compression to decrease the size of selected files for better resource utilization.
34,CON,Console input,Utilize console input (CON) for receiving input directly from the command line.,Directly gather user input from the console through the CON device.,Incorporate console input for interactive communication and user engagement.,Accept input from the console for dynamic and real-time command-line interaction.,Use console input as a source for immediate and responsive command processing.
35,CONVERT,Convert a FAT drive to NTFS,Transform a FAT drive to NTFS to enhance file system capabilities and security.,Convert a FAT-formatted drive to NTFS for improved file system features and performance.,Upgrade a FAT drive to NTFS to take advantage of advanced file system functionalities.,Change the file system of a FAT drive to NTFS for enhanced compatibility and features.,Perform the conversion of a FAT drive to NTFS to optimize file system efficiency and security.
36,COPY,Copy one or more files to another location •,Duplicate one or more files to another location for backup or distribution.,Replicate files and transfer them to a different location for archival or sharing.,Create duplicates of specified files and move them to a designated destination.,"Transfer files to another location, maintaining the original content and structure.","Duplicate files to a different location, preserving their integrity and content."
37,Coreinfo,Show the mapping between logical & physical processors,Display the mapping between logical and physical processors for system analysis.,Showcase the correlation between logical and physical processors on the system.,Provide a visual representation of the mapping between logical and physical processors.,Illustrate the relationship between logical and physical processors for system understanding.,Show the mapping details between logical and physical processors to facilitate system assessment.
38,CSCcmd,Client-side caching (Offline Files),"Manage client-side caching for Offline Files, controlling synchronization and availability.",Administer client-side caching settings for Offline Files to regulate synchronization behavior.,Control and configure client-side caching (Offline Files) to optimize data availability.,"Manage Offline Files through client-side caching, controlling synchronization and access.",Administer and customize client-side caching settings for efficient management of Offline Files.
39,CSVDE,Import or Export Active Directory data,Import or export Active Directory data using Comma-Separated Values (CSV) format.,Utilize CSV files to efficiently import or export data within the Active Directory.,"Import or export Active Directory data, leveraging CSV format for seamless transactions.",Perform data import or export operations in Active Directory using CSV files for flexibility.,Efficiently manage Active Directory data by importing or exporting information using CSV format.
40,CURL,Transfer data from or to a server,"Facilitate data transfer between a client and server, retrieving or sending information."," Execute data transfers to or from a server, enabling seamless communication.","Transfer data between a client and server, supporting a variety of protocols.","Perform data exchange operations with a server, leveraging the versatility of CURL.",Facilitate bidirectional data transfer between a client and server using CURL commands.
41,DATE,Display or set the date •,Display the current system date or set a new date for the system.,View or modify the current date settings on the system.,Retrieve information about the current system date or adjust it as needed.,Display or configure the date settings to ensure accurate system timekeeping.,View the current system date or modify it to meet specific requirements.
42,DEFRAG,Defragment hard drive,Optimize disk performance by defragmenting the hard drive for improved file access.,Improve system responsiveness by defragmenting the hard drive to enhance file organization.,Enhance disk efficiency and speed by defragmenting the hard drive for optimal performance.,Organize and consolidate files on the hard drive to boost overall system responsiveness.,Optimize file storage on the hard drive by running the defragmentation process for increased efficiency.
43,DEL,Delete one or more files •,Remove one or more files to free up disk space or clean up the file system.,Delete specified files to manage disk space and maintain a clutter-free environment.,Erase one or more files from the system to declutter the file structure.,Remove designated files to ensure efficient file management and organization.,Delete specified files to maintain a tidy and well-organized file system.
44,DELPROF,Delete user profiles,Delete user profiles to manage user-specific data and configurations.,Remove user profiles from the system to free up space and enhance security.,Erase user profiles to streamline user management and system resources.,Delete designated user profiles for efficient user account maintenance.,Manage user profiles by removing unnecessary ones using the DELPROF command.
45,DELTREE,Delete a folder and all subfolders,Remove a folder and all its subfolders to clean up directory structures.,Delete a specified folder and its subdirectories to free up disk space., Erase a folder along with its subfolders for efficient directory management.,Remove a designated folder and all its contents to maintain an organized file system.,Delete a folder and its subdirectories to ensure effective file and folder cleanup.
46,DevCon,Device Manager Command Line Utility,Utilize the Device Manager Command Line Utility to manage hardware devices from the command line.,Administer device operations and configurations through the Device Manager Command Line Utility.,Execute commands for device management directly from the command line using DEVCON.,Control and manipulate hardware devices by leveraging the capabilities of the Device Manager Command Line Utility., Interact with the Device Manager Command Line Utility to perform various device-related tasks from the command line.
47,DIR,Display a list of files and folders •,Show a comprehensive list of files and folders in the current directory for quick reference.,"Display a directory listing, providing an overview of files and folders present in the current location.","Present a detailed list of files and folders, aiding in file management and navigation.",Provide a snapshot of files and folders within the current directory to assist with navigation and organization.,"Show a directory listing, offering a quick view of files and folders for effective file system exploration."
48,DIRUSE,Display  directory sizes/usage,View directory sizes and usage to understand the space distribution on the disk.,"Display information about directory sizes, aiding in disk space management.",Gain insights into directory sizes and usage patterns for effective storage planning.,Present a summary of directory sizes to facilitate disk space analysis and optimization.,"Show detailed information on directory sizes and usage, assisting in efficient disk space management."
49,DISKPART,Disk Administration,Administer disk-related operations and configurations for effective disk management.,"Control and manipulate disk partitions, volumes, and settings using the Disk Administration tool.","Execute commands to manage and configure disks, partitions, and volumes through DISKPART.","Administer disk-related tasks, including partitioning and formatting, using the DISKPART command.",Utilize the Disk Administration tool to perform various disk-related operations and configurations.
50,DISKSHADOW,Volume Shadow Copy Service,Interact with the Volume Shadow Copy Service for managing shadow copies of volumes.,Utilize commands to work with the Volume Shadow Copy Service for backup and recovery., Administer Volume Shadow Copy Service operations for creating and managing shadow copies.,Control and manipulate shadow copies of volumes using the DISKSHADOW command.,Leverage the Volume Shadow Copy Service through DISKSHADOW for efficient backup and restore operations.
51,DISKUSE,Show the space used in folders,Display the amount of space currently in use within different folders.,Obtain information about the space utilization in various directories.,Display how storage space is distributed among different folders on the disk.,Present a summary of how disk space is allocated within specific directories.,Inspect the details of how storage space is used within various directories on the disk.
52,DISM,Deployment Image Servicing and Management, Utilize the Deployment Image Servicing and Management tool to service and manage Windows images.,Administer commands for deployment image maintenance and configuration using the DISM tool.,Execute operations related to the Deployment Image Servicing and Management for image customization.,Control and manipulate Windows images for deployment through the DISM command-line tool.,Leverage the capabilities of the Deployment Image Servicing and Management tool for image servicing and configuration tasks.
53,DisplaySwitch,Specify which display to use and how to use it,,,,,
54,DNSCMD,Manage DNS servers,Administer DNS servers using the DNSCMD command to manage domain name system configurations.,Control and manipulate DNS server settings and configurations for efficient domain name resolution.,Execute commands to manage and configure DNS servers through the DNSCMD utility.,"Administer DNS server operations, including zone creation and modification, using DNSCMD.",Utilize the DNSCMD tool to perform various DNS server management tasks and configurations.
55,DOSKEY,"Edit command line, recall commands, and create macros","Edit command lines, recall previous commands, and create macros for command-line efficiency.",Enhance command-line productivity by using DOSKEY to edit and recall commands.,"Create and manage command-line macros, as well as recall and edit commands on the fly.",Improve command-line interactions by utilizing DOSKEY for command history and macro creation.,"Edit, recall, and create command-line macros for streamlined and effective command usage."
56,DriverQuery,Display installed device drivers,Use the DriverQuery command to display a list of installed device drivers on the system.,"Retrieve information about installed device drivers, including their status and properties.",Display a comprehensive list of currently installed device drivers using the DRIVERQUERY command.,Query and present information about device drivers installed on the system.,Utilize the DRIVERQUERY command to obtain details about the installed device drivers for analysis and troubleshooting.
57,DSACLs,Active Directory ACLs,,,,,
58,DSAdd,Add items to Active Directory (user group computer),,,,,
59,DSGet,View items in Active Directory (user group computer),,,,,
60,DSQuery,Search Active Directory (user group computer), Search Active Directory for user accounts using DSQUERY to retrieve relevant information.,Utilize DSQUERY to search and retrieve information about group objects within Active Directory.,Perform Active Directory searches for computer objects using DSQUERY for effective management.,Use DSQUERY to search and obtain information about specific user accounts in Active Directory.,Employ DSQUERY to search for and retrieve details about computer objects within Active Directory.
61,DSMod,Modify items in Active Directory (user group computer),Modify user accounts in Active Directory using DSMOD for effective user management.,Utilize DSMOD to make modifications to group objects within Active Directory.,Perform changes to computer objects in Active Directory using DSMOD for efficient management.,Modify user attributes and properties in Active Directory using the DSMOD command.,Use DSMOD to update and modify details of computer objects within Active Directory.
62,DSMove,Move an Active Directory Object,Use DSMOVE to relocate an Active Directory object within the directory structure.,Move Active Directory objects to different organizational units (OUs) using the DSMOVE command.,Perform object relocation within Active Directory for efficient organizational management.,"Use DSMOVE to change the location of user, group, or computer objects within the directory.",Facilitate the movement of Active Directory objects using the DSMOVE command for organizational restructuring.
63,DSRM,Remove items from Active Directory,"Remove user accounts, groups, or computer objects from Active Directory using the DSRM command.",Utilize DSRM to delete specified items within Active Directory for effective object management.,Remove objects from Active Directory using the DSRM command for streamlined directory maintenance.,"Perform deletions of user, group, or computer objects within Active Directory using DSRM.",Use the DSRM command to efficiently remove designated items from Active Directory.
64,DSREGCMD,Directory Service Registration,,,,,
65,DU,Display  directory sizes/usage,,,,,
66,ECHO,Display message on screen •,Display a message on the screen using the ECHO command for user communication.,Output a custom message to the command prompt screen for informative purposes.,Print text or messages on the screen for user interaction and feedback.,Communicate information to the user by displaying messages using the ECHO command.,Use the ECHO command to show messages or text on the screen for user awareness.
67,ENDLOCAL,End localisation of the environment in a batch file •,"Terminate the localization of the environment in a batch file, reverting to previous settings.","Conclude the localized environment in a batch file, restoring global environment variables.","End the localized scope in a batch file, reverting changes made to environment variables.",Terminate the local environment modifications within a batch script.,"Conclude the local environment context in a batch file, ensuring global variable consistency."
68,ERASE,Delete one or more files •,Remove one or more files to free up disk space or clean up the file system.,Delete specified files to manage disk space and maintain a clutter-free environment.,Erase one or more files from the system to declutter the file structure.,Remove designated files to ensure efficient file management and organization.,Delete specified files to maintain a tidy and well-organized file system.
69,EVENTCREATE,Add a message to the Windows event log,Add a message to the Windows event log using the EVENTCREATE command for event logging.,Use EVENTCREATE to insert custom messages into the Windows event log for monitoring.,Create log entries in the Windows event log by adding messages through the EVENTCREATE command.,Log specific messages in the Windows event log using the EVENTCREATE command for tracking.,Insert informational messages into the Windows event log for analysis and record-keeping.
70,EXIT,Quit the current script/routine and set an errorlevel •,Terminate the current script or routine and set an error level using the EXIT command.,"End the execution of the current script or routine, specifying an error level for status.",Quit the current script or routine and communicate an error level for result interpretation.,"Terminate the current execution, signaling an error level for subsequent handling.","End the current script or routine, setting an error level for status indication."
71,EXPAND,Uncompress CAB files,Decompress CAB files using the EXPAND command for extracting archived content.,Unpack contents from CAB files using the EXPAND command for file expansion.,Extract files from CAB archives using the EXPAND command for decompression.,Decompress and retrieve files from CAB files using the EXPAND command.,Uncompress CAB files to reveal their contents using the EXPAND command.
72,EXPLORER,Open Windows Explorer,Launch Windows Explorer for file and folder navigation using the EXPLORER command.,Open the Windows Explorer interface to explore and manage files and directories.,Access the graphical file explorer by executing the EXPLORER command.,Initiate Windows Explorer for visual navigation and manipulation of files and folders.,Open the file explorer interface to browse and interact with the file system using the EXPLORER command.
73,EXTRACT,Uncompress CAB files,Uncompress files from CAB archives using the EXTRACT command for extraction.,Extract contents from CAB files using the EXTRACT command for decompression.,Retrieve files from CAB archives using the EXTRACT command for unpacking.,Decompress and extract files from CAB files using the EXTRACT command.,Unpack contents stored in CAB files using the EXTRACT command for archival expansion.
74,FC,Compare two files,Compare the contents of two files using the FC command for identifying differences.,Perform a file comparison using the FC command to check for discrepancies between two files.,Use the FC command to compare two files and determine whether they are identical.,Conduct a file comparison to check for variances between two specified files using the FC command.,Compare the contents of two files for similarities and differences with the FC command.
75,FIND,Search for a text string in a file,Locate a specific text string within a file using the FIND command for quick searching.,Search for occurrences of a text string in a file using the FIND command for identification.,Use the FIND command to locate and display lines containing a specified text string in a file.,Perform a text search within a file to identify lines containing a particular string using the FIND command.,Utilize the FIND command to search for and display lines containing a specified text string within a file.
76,FINDSTR,Search for strings in files,Search for specific strings or patterns within files using the FINDSTR command.,"Use FINDSTR to perform advanced string searches in files, including pattern matching.",Locate and display lines in files that contain specified strings using the FINDSTR command.,"Conduct powerful string searches within files, employing regular expressions if needed.",Utilize FINDSTR to identify and display lines in files that match specified search criteria.
77,FLTMC,Manage MiniFilter drivers,Administer and manage MiniFilter drivers using the FLTMC command for control and configuration.,"Execute commands to handle MiniFilter drivers, providing management capabilities through FLTMC.",Utilize FLTMC to interactively manage and control MiniFilter drivers on the system.,Manage MiniFilter drivers with precision and control using the FLTMC command.,Use FLTMC to perform various tasks related to the management of MiniFilter drivers on the system.
78,FONDUE,Features on Demand User Experience Tool,,,,,
79,FOR /F,Loop command: against a set of files •,loop command to iterate against a set of files using the FOR /F statement.,loop through and perform actions against a specified set of files.,iterate over a collection of files and execute commands for each.,process and perform actions on a set of files.,iteratively process and execute commands against files in a specified set.
81,FOR,"Loop command: all options Files, Directory, List •",,,,,
82,FORFILES,Batch process multiple files,Batch process multiple files using the FORFILES command for efficient file handling.,"Execute commands on a set of files, enabling batch processing with the FORFILES command.",Perform batch operations on multiple files based on specified criteria using FORFILES.,Utilize FORFILES to automate tasks on a group of files through batch processing., Implement batch processing for multiple files by leveraging the capabilities of the FORFILES command.
83,FORMAT,Format a disk,Prepare a disk for use by formatting it using the FORMAT command for data storage.,Erase existing data and set up a file system on a disk using the FORMAT command.,Initiate the process of disk formatting to prepare it for storing files and data.,Create a new file system on a disk and erase its contents using the FORMAT command.,Use the FORMAT command to configure a disk for data storage by establishing a file system.
84,FREEDISK,Check free disk space,,,,,
85,FSUTIL,File and Volume utilities,Utilize File and Volume utilities through the FSUTIL command for managing file systems and volumes.,Administer file and volume operations using the versatile FSUTIL command for efficient management.,Perform various tasks related to file systems and volumes through the comprehensive FSUTIL command.,"Interact with File and Volume utilities, executing commands for effective file system and volume management.",Use the FSUTIL command to access and control a range of utilities for file and volume management tasks.
86,FTP,File Transfer Protocol,Use the File Transfer Protocol (FTP) to transfer files between a local and remote server.,Initiate file transfers over a network using the FTP command for efficient data exchange.,Employ FTP for uploading and downloading files between a client and server.,Utilize the File Transfer Protocol to manage file transfers securely and reliably.,Access remote servers and transfer files using the FTP command for seamless data exchange.Access remote servers and transfer files using the FTP command for seamless data exchange.
87,FTYPE,File extension file type associations •,Manage file extension associations with specific file types using the FTYPE command.,Configure and set file type associations for specific extensions using the FTYPE command.,Use the FTYPE command to define and modify file type associations for various extensions.,Administer file type and extension relationships on the system using the FTYPE command.,Set and control file type associations for specific extensions through the FTYPE command.
88,GETMAC,Display the Media Access Control (MAC) address,Retrieve and display the Media Access Control (MAC) address of the network interfaces using the GETMAC command.,Use the GETMAC command to show the MAC address associated with network adapters.,Display the MAC address information for network interfaces on the system using the GETMAC command.,Retrieve the unique MAC addresses of network adapters using the GETMAC command.,Utilize the GETMAC command to view and identify the MAC addresses of network interfaces.
89,GOTO,Direct a batch program to jump to a labelled line •,Direct a batch program to jump to a specified labeled line using the GOTO command for program control.,Use the GOTO command to guide the execution flow in a batch program by jumping to a labeled line.,Enable conditional branching in a batch script by employing the GOTO command to navigate to a labeled section.,Direct the execution sequence within a batch program by issuing the GOTO command to reach a specific label.,Implement programmatic control in a batch script by utilizing the GOTO command for targeted line redirection.
90,GPRESULT,Display Resultant Set of Policy information,Display information about the Resultant Set of Policy (RSOP),Retrieve and present Resultant Set of Policy details,Access information on the applied Group Policy settings,Obtain and display Resultant Set of Policy information for the system,examine and present Resultant Set of Policy data for policy assessment.
91,GPUPDATE,Update Group Policy settings,refresh and update Group Policy settings on the local computer.,Force an immediate update of Group Policy settings,Ensure the latest Group Policy configurations are applied, Update and synchronize Group Policy settings on the computer with the latest configurations, refresh and apply Group Policy settings for immediate effect on the system.
